iter	Accuracy	MultiClass
540	1	0.1819403214
541	1	0.181671726
542	1	0.1815783449
543	1	0.1812318506
544	1	0.1810499897
545	1	0.1806055701
546	1	0.1800950141
547	1	0.1797639247
548	1	0.1794327626
549	1	0.1790416247
550	1	0.1787863816
551	1	0.1783461441
552	1	0.1778431854
553	1	0.1771737997
554	1	0.1768444774
555	1	0.176574237
556	1	0.1762166682
557	1	0.1758554836
558	1	0.1756683858
559	1	0.1753137548
560	1	0.1750275371
561	1	0.1745991521
562	1	0.1743929758
563	1	0.1740632787
564	1	0.1737845624
565	1	0.1733301569
566	1	0.1729953889
567	1	0.1727493141
568	1	0.1723419821
569	1	0.1718379603
570	1	0.1715241568
571	1	0.1713148244
572	1	0.171028266
573	1	0.1707072337
574	1	0.1702830858
575	1	0.1699618029
576	1	0.1696955629
577	1	0.1694643904
578	1	0.1690447766
579	1	0.1685007426
580	1	0.1682009634
581	1	0.1678531139
582	1	0.1673531525
583	1	0.1671966001
584	1	0.1669813352
585	1	0.1667303438
586	1	0.166397091
587	1	0.1660996229
588	1	0.1658255515
589	1	0.1655605634
590	1	0.1653667875
591	1	0.1650322755
592	1	0.1647329657
593	1	0.1644068505
594	1	0.1641633119
595	1	0.1639983676
596	1	0.1635130439
597	1	0.163140715
598	1	0.1628307207
599	1	0.1626689178
600	1	0.1624735561
601	1	0.1621491861
602	1	0.1620063684
603	1	0.1617355544
604	1	0.1614413614
605	1	0.1611831093
606	1	0.1608872427
607	1	0.1606050088
608	1	0.1603374975
609	1	0.1599923761
610	1	0.1597890956
611	1	0.1594390786
612	1	0.1592203768
613	1	0.1589542125
614	1	0.1586333545
615	1	0.1583131437
616	1	0.1581039623
617	1	0.1578348626
618	1	0.1575049323
619	1	0.1573068981
620	1	0.1571414245
621	1	0.1569712968
622	1	0.1567166584
623	1	0.1564380928
624	1	0.1562420948
625	1	0.1558490024
626	1	0.1555471412
627	1	0.1553252125
628	1	0.1550151034
629	1	0.1548578324
630	1	0.1545190302
631	1	0.1542861388
632	1	0.1539642932
633	1	0.1536669296
634	1	0.1533065894
635	1	0.1530431064
636	1	0.1528600324
637	1	0.1525642427
638	1	0.1524038963
639	1	0.1520899414
640	1	0.1518758727
641	1	0.1516799465
642	1	0.1513939831
643	1	0.1511015417
644	1	0.1508656244
645	1	0.1506250417
646	1	0.1503750047
647	1	0.1501524983
648	1	0.1499801425
649	1	0.1495597233
650	1	0.1493345438
651	1	0.1490305543
652	1	0.148684187
653	1	0.148450666
654	1	0.1483070081
655	1	0.1481755238
656	1	0.1479414349
657	1	0.1476822198
658	1	0.1474847461
659	1	0.1473116632
660	1	0.1470181648
661	1	0.1468058444
662	1	0.1465533052
663	1	0.1463535191
664	1	0.1461575366
665	1	0.1458851666
666	1	0.1455836525
667	1	0.1452591987
668	1	0.1450136461
669	1	0.1448450299
670	1	0.1445830677
671	1	0.144390547
672	1	0.144199553
673	1	0.1439324162
674	1	0.1437402421
675	1	0.1436089069
676	1	0.1434666875
677	1	0.1432593354
678	1	0.1430584864
679	1	0.1427769884
680	1	0.1425201734
681	1	0.1423301605
682	1	0.142095927
683	1	0.1417923797
684	1	0.1416318477
685	1	0.1413943032
686	1	0.1412508841
687	1	0.1411108958
688	1	0.1408010894
689	1	0.1406587474
690	1	0.1404968922
691	1	0.1403556268
692	1	0.1402828154
693	1	0.1400258175
694	1	0.1398322409
695	1	0.1395809391
696	1	0.1394053055
697	1	0.139212277
698	1	0.1388748671
699	1	0.1386358082
700	1	0.1384641975
701	1	0.1383352209
702	1	0.1380794156
703	1	0.1378143078
704	1	0.1376870155
705	1	0.137427459
706	1	0.1371675154
707	1	0.1370216882
708	1	0.1368372401
709	1	0.1365344759
710	1	0.136415919
711	1	0.1361297611
712	1	0.1360314346
713	1	0.1358800811
714	1	0.1355442151
715	1	0.1352999636
716	1	0.1351147718
717	1	0.1348276838
